year,station,fine_dust,CO2,HCHO,CO
2011,판암,49.4,476,16,0.4
2011,신흥,49.7,422,14,0.2
2011,대동,54.2,459,12.5,0.4
2011,대전,61.6,493,15.5,0.3
2011,중앙로,61.5,537,11.6,0.4
2011,중구청,59.8,447,13.2,0.3
2011,서대전네거리,58.9,466,13,0.3
2011,오룡,63.8,486,16,0.6
2011,용문,70.8,504,14.6,0.7
2011,탄방,63.6,493,14.8,0.5
2011,시청,61.9,481,14.9,0.3
2011,정부청사,47.8,460,9.8,0.3
2011,갈마,48.1,481,16.6,0.3
2011,월평,57.9,488,8.4,0.4
2011,갑천,51.7,422,11.5,0.1
2011,유성온천,51.2,536,20.1,0.4
2011,구암,42.1,442,12,0.1
2011,현충원,37.8,400,11.8,0.1
2011,월드컵경기장,33.6,390,11.8,0.1
2011,노은,32.4,398,17.9,0.1
2011,지족,35,386,17.1,0.1
2011,반석,44.8,403,7.1,0.1
2012,판암,62.6,536.2,9.6,0.8
2012,신흥,69.3,471.1,6.1,0.6
2012,대동,80.9,558.4,9.8,0.5
2012,대전,81,567.2,5.4,0.5
2012,중앙로,69.8,646.1,11.8,0.7
2012,중구청,119.4,666.9,10.9,0.6
2012,서대전네거리,99.5,575.8,12.7,0.6
2012,오룡,80.7,616,18,0.6
2012,용문,80.6,551.1,15.2,0.7
2012,탄방,105.2,523.7,15.5,0.7
2012,시청,88.7,533.2,13.8,1
2012,정부청사,65.4,557.5,15.7,0.9
2012,갈마,55.8,540.8,16.3,0.3
2012,월평,71,528.9,14.2,0.5
2012,갑천,83.4,477,15.2,0.4
2012,유성온천,59.3,555.4,15.2,0.9
2012,구암,54.4,509.4,13.6,0.3
2012,현충원,64.5,512.2,9.7,1
2012,월드컵경기장,58.5,506.8,9.2,0.4
2012,노은,83.1,521.8,10.3,1.1
2012,지족,62.3,488.4,13.5,0.8
2012,반석,65,572,8.9,1.2
2013,판암,51.7,528,2.4,0.6
2013,신흥,57.6,577,2.7,0.6
2013,대동,68.6,563,1.8,0.4
2013,대전,52,550,2.1,0.4
2013,중앙로,58,586,3,0.5
2013,중구청,62.4,600,6.4,0.7
2013,서대전네거리,64.2,584,3.5,0.4
2013,오룡,74.6,658,2.3,0.8
2013,용문,60.5,532,3.7,0.7
2013,탄방,54.6,580,2.7,0.7
2013,시청,53.9,561,3.9,0.6
2013,정부청사,56.3,584,5.6,0.6
2013,갈마,51.4,561,3.5,0.6
2013,월평,51.6,399,5.2,0.6
2013,갑천,47.6,579,5.8,0.6
2013,유성온천,55.8,459,9.5,0.8
2013,구암,43.9,530,5.8,0.5
2013,현충원,53.1,380,4.2,0.7
2013,월드컵경기장,44.3,359,5,0.5
2013,노은,41.8,536,5.3,0.4
2013,지족,42,562,4.8,0.5
2013,반석,46.9,399,4.8,0.7
2014,판암,53.6,517,2.9,0.8
2014,신흥,45,447,3.5,0.6
2014,대동,69.4,480,2.7,0.6
2014,대전,72.7,516,2.4,0.8
2014,중앙로,65.3,524,3.7,1.2
2014,중구청,64.5,511,6.3,0.8
2014,서대전네거리,53.2,509,4.2,0.7
2014,오룡,58.8,595,3,0.8
2014,용문,53.7,504,4.8,0.9
2014,탄방,65.9,532,3.9,1
2014,시청,57.9,502,3.6,1
2014,정부청사,68.2,501,5,1
2014,갈마,45.1,474,3.6,0.4
2014,월평,49.5,503,4.6,1.1
2014,갑천,64.2,463,5.5,0.2
2014,유성온천,58.4,531,8.6,1.3
2014,구암,43.7,462,6.1,0.4
2014,현충원,41.8,455,5.2,0.8
2014,월드컵경기장,44.1,460,6.3,0.6
2014,노은,42.7,477,6.1,1
2014,지족,44.7,431,5.2,0.5
2014,반석,74.7,520,6.5,0.7
2015,판암,38.8,430,7.8,0.5
2015,신흥,67.4,405,7.7,0.5
2015,대동,67.5,472,14.9,0.6
2015,대전,83.5,444,5.7,0.5
2015,중앙로,47.9,471,3.9,0.5
2015,중구청,56.2,426,4.6,0.4
2015,서대전네거리,80,487,2.4,0.6
2015,오룡,74,552,10.8,0.7
2015,용문,77.7,435,10.1,0.7
2015,탄방,92.9,476,8,0.6
2015,시청,73.1,451,9.4,0.6
2015,정부청사,79.7,460,9,0.5
2015,갈마,52.9,522,8.7,0.5
2015,월평,63.7,454,9.1,0.5
2015,갑천,55.4,482,0.9,0.7
2015,유성온천,73.2,511,4.7,0.7
2015,구암,69.6,394,3.8,0.4
2015,현충원,20.2,428,2.3,0.5
2015,월드컵경기장,33.8,474,4.1,0.6
2015,노은,50.1,442,10.5,0.5
2015,지족,67.2,507,12.9,0.7
2015,반석,76,493,5.7,0.7
2016,판암,59.1,453,0,0.6
2016,신흥,71,419,0.7,0.6
2016,대동,83.4,435,1.7,0.5
2016,대전,97.3,442,2.2,0.5
2016,중앙로,51.9,471,1.4,0.5
2016,중구청,63.9,467,1.5,0.5
2016,서대전네거리,121.3,440,0.4,0.5
2016,오룡,73.2,509,0.9,0.5
2016,용문,48.9,438,1.7,0.5
2016,탄방,63.7,470,2.8,0.5
2016,시청,36.6,474,2.1,0.5
2016,정부청사,50.1,436,2.3,0.5
2016,갈마,43.9,548,1.5,0.4
2016,월평,34,496,2.6,0.4
2016,갑천,38.3,455,2.2,0.5
2016,유성온천,30.5,451,1.8,0.4
2016,구암,36,510,1.5,0.4
2016,현충원,41.1,453,2,0.5
2016,월드컵경기장,41.5,467,2.4,0.5
2016,노은,46.4,458,2.4,0.5
2016,지족,33.4,499,3.2,0.5
2016,반석,44.9,464,2.6,0.5
2017,판암,77.6,517,3,0.1
2017,신흥,91,495,2.9,0.1
2017,대동,85,531,5.6,0.1
2017,대전,65.1,569,2.1,0.1
2017,중앙로,55.6,575,4.3,0.1
2017,중구청,58.8,559,3.8,0.1
2017,서대전네거리,32.2,563,2.8,0.2
2017,오룡,43.6,543,2.9,0.1
2017,용문,61.5,518,4.6,0.3
2017,탄방,71.8,531,2.6,0.2
2017,시청,73.9,580,2.5,0.3
2017,정부청사,55.8,562,1.9,0.3
2017,갈마,55.7,557,1.2,1.3
2017,월평,41.8,569,1.2,1.2
2017,갑천,58.5,708,1.4,1.3
2017,유성온천,69,589,1.9,1.3
2017,구암,62.4,592,1.6,1.3
2017,현충원,45.9,557,1.5,1.2
2017,월드컵경기장,41,525,3.7,1
2017,노은,60,564,4.2,1.1
2017,지족,37.9,553,3.8,1.1
2017,반석,40.2,485,3.6,1.1
2018,판암,66.8,488,2.7,0.7
2018,신흥,85.2,523,2.8,0.7
2018,대동,65.6,537,2.3,0.7
2018,대전,37.5,500,1.8,0.7
2018,중앙로,26.7,448,2,0.6
2018,중구청,33.2,472,2,0.6
2018,서대전네거리,36.8,477,2.8,0.6
2018,오룡,40.5,476,2.6,0.6
2018,용문,42.8,501,3.5,0.6
2018,탄방,55.1,412,1.9,0.5
2018,시청,41.6,461,2.5,0.5
2018,정부청사,29.7,433,2.7,0.5
2018,갈마,19.7,464,2.6,0.6
2018,월평,17,469,3.6,0.6
2018,갑천,26,424,2.7,0.7
2018,유성온천,54.6,521,3.8,0.7
2018,구암,32.2,444,3.3,0.6
2018,현충원,42.8,429,2.4,0.7
2018,월드컵경기장,38.4,468,3.9,1
2018,노은,53.8,478,3.5,1
2018,지족,43.1,444,2.2,0.8
2018,반석,39.1,475,1.6,0.8
2019,판암,84,450,1.7,1
2019,신흥,59.7,488,2.7,1
2019,대동,37.7,515,2.8,0.9
2019,대전,72.7,541,3.3,1
2019,중앙로,68.9,447,3.3,0.9
2019,중구청,68.3,462,2.6,0.8
2019,서대전네거리,69.8,467,3.2,0.8
2019,오룡,55.8,463,6.2,0.9
2019,용문,68,473,6.7,0.8
2019,탄방,45.3,446,5.4,0.7
2019,시청,48.1,456,12.5,0.7
2019,정부청사,58.4,432,14.7,0.8
2019,갈마,92.6,448,5.6,0.7
2019,월평,61.1,459,1.2,0.7
2019,갑천,28.9,436,4.2,0.8
2019,유성온천,34.1,476,5.8,0.8
2019,구암,43,486,6.5,0.7
2019,현충원,33.7,406,7.2,0.8
2019,월드컵경기장,50.8,446,5.3,1
2019,노은,29.2,455,7,0.9
2019,지족,19,451,9.1,0.8
